GameID,HomeTeam,AwayTeam,HomeScore,AwayScore,ScoresScrapedAt
20501,East Grand School,Ashland District,15.0,63.0,2026-02-08T20:33:30Z
17953,Central Aroostook Sr,East Grand School,75.0,23.0,2026-02-08T20:33:30Z
17943,East Grand School,Central Aroostook Sr,16.0,58.0,2026-02-08T20:33:30Z
13172,Deer Isle-Stonington,East Grand School,65.0,21.0,2026-02-08T20:33:30Z
20507,Ashland District,East Grand School,52.0,12.0,2026-02-08T20:33:30Z
18048,East Grand,Easton Senior High School,27.0,79.0,2026-02-08T20:33:30Z
18068,Easton Senior High School,Ashland District,70.0,15.0,2026-02-08T20:33:30Z
17919,Easton Senior High School,Central Aroostook Sr,62.0,58.0,2026-02-08T20:33:30Z
17925,Central Aroostook Sr,Easton Senior High School,60.0,32.0,2026-02-08T20:33:30Z
18092,Easton Senior High School,East Grand,77.0,30.0,2026-02-08T20:33:30Z
18097,Ashland District,Easton Senior High School,18.0,80.0,2026-02-08T20:33:30Z
18112,East Grand,Easton Senior High School,21.0,69.0,2026-02-08T20:33:30Z
18124,Easton Senior High School,Ashland District,24.0,50.0,2026-02-08T20:33:30Z
17941,Easton Senior High School,Central Aroostook Sr,12.0,65.0,2026-02-08T20:33:30Z
17945,Central Aroostook Sr,Easton Senior High School,60.0,23.0,2026-02-08T20:33:30Z
18152,Easton Senior High School,East Grand,71.0,25.0,2026-02-08T20:33:30Z
18154,Ashland District,Easton Senior High School,44.0,27.0,2026-02-08T20:33:30Z
19088,Edward Little High School,Camden Hills Regional,59.0,61.0,2026-02-08T20:33:30Z
10755,Brunswick,Edward Little High School,48.0,57.0,2026-02-08T20:33:30Z
18653,Brewer,Edward Little High School,49.0,67.0,2026-02-08T20:33:30Z
19143,Edward Little High School,Brunswick,65.0,61.0,2026-02-08T20:33:30Z
11565,Edward Little High School,Bangor,58.0,38.0,2026-02-08T20:33:30Z
11655,Camden Hills Regional,Edward Little High School,31.0,48.0,2026-02-08T20:33:30Z
18849,Edward Little High School,Brunswick,59.0,33.0,2026-02-08T20:33:30Z
19281,Edward Little High School,Brewer,67.0,44.0,2026-02-08T20:33:30Z
10835,Brunswick,Edward Little High School,53.0,41.0,2026-02-08T20:33:30Z
11601,Bangor,Edward Little High School,44.0,43.0,2026-02-08T20:33:30Z
